"subclass"	"n_samp_obs"	"cladeA_MA"	"cladeF_MA"	"cladeG_MA"	"cladeH_MA"	"cladeI_MA"	"cladeJ_MA"	"FC_cladeF_V_cladeA"	"FC_cladeG_V_cladeA"	"FC_cladeH_V_cladeA"	"FC_cladeI_V_cladeA"	"FC_cladeJ_V_cladeA"	"FC_cladeG_V_cladeF"	"FC_cladeH_V_cladeF"	"FC_cladeI_V_cladeF"	"FC_cladeJ_V_cladeF"	"FC_cladeH_V_cladeG"	"FC_cladeI_V_cladeG"	"FC_cladeJ_V_cladeG"	"FC_cladeI_V_cladeH"	"FC_cladeJ_V_cladeH"	"FC_cladeJ_V_cladeI"	"tuk_cladeF_cladeA_diff"	"tuk_cladeF_cladeA_p"	"tuk_cladeG_cladeA_diff"	"tuk_cladeG_cladeA_p"	"tuk_cladeH_cladeA_diff"	"tuk_cladeH_cladeA_p"	"tuk_cladeI_cladeA_diff"	"tuk_cladeI_cladeA_p"	"tuk_cladeJ_cladeA_diff"	"tuk_cladeJ_cladeA_p"	"tuk_cladeG_cladeF_diff"	"tuk_cladeG_cladeF_p"	"tuk_cladeH_cladeF_diff"	"tuk_cladeH_cladeF_p"	"tuk_cladeI_cladeF_diff"	"tuk_cladeI_cladeF_p"	"tuk_cladeJ_cladeF_diff"	"tuk_cladeJ_cladeF_p"	"tuk_cladeH_cladeG_diff"	"tuk_cladeH_cladeG_p"	"tuk_cladeI_cladeG_diff"	"tuk_cladeI_cladeG_p"	"tuk_cladeJ_cladeG_diff"	"tuk_cladeJ_cladeG_p"	"tuk_cladeI_cladeH_diff"	"tuk_cladeI_cladeH_p"	"tuk_cladeJ_cladeH_diff"	"tuk_cladeJ_cladeH_p"	"tuk_cladeJ_cladeI_diff"	"tuk_cladeJ_cladeI_p"	"f_stat"	"sum_of_sq"	"p_val"	"adj_p_val"	"sample_type_DA"
"Stilbenes"	5	0	0	0	3.41110325797986e-07	0	3.02525671231945e-06	NA	NA	Inf	NA	Inf	NA	Inf	NA	Inf	Inf	NA	Inf	-Inf	3.14874723670707	Inf	-1.25176069005145e-18	1	-2.48873680502354e-19	1	7.47797522054847e-05	0.999868262862703	-2.4912009008701e-18	1	0.000351667944443165	0.827452104299038	1.00288700954909e-18	1	7.4779752205486e-05	0.999991053167088	-1.23944021081866e-18	1	0.000351667944443167	0.982953210924215	7.4779752205485e-05	0.999994100148579	-2.24232722036775e-18	1	0.000351667944443166	0.988426211820013	-7.47797522054872e-05	0.99996627319927	0.000276888192237681	0.745386955645353	0.000351667944443168	0.943811839122138	0.635059552603296	4.63441356744038e-06	0.673216250444325	0.813469635953559	"NA"
"Boronic acid derivatives"	9	0.000552520294886487	8.74999165396643e-05	0.000284378001779032	0.000639716437823367	0.000961137853681694	0.00202517195988227	-2.65867391182934	-0.958217589013283	0.211405096689797	0.79871591030896	1.87394505132784	1.70045632281606	2.87007900851914	3.4573898221383	4.53261896315718	1.16962268570308	1.75693349932224	2.83216264034113	0.587310813619163	1.66253995463805	1.07522914101888	-0.00017374717141483	0.99959806134028	-0.000173747171414828	0.99971884070129	2.72419381630204e-05	0.999999127118558	-0.000173747171414828	0.99882355406679	0.000186242021782873	0.987332626776042	1.89735380184963e-18	1	0.00020098910957785	0.99883258191761	1.47352931624166e-18	1	0.000359989193197703	0.981049352496915	0.000200989109577848	0.999221403151404	-4.2382448560797e-19	1	0.000359989193197701	0.98710873677407	-0.000200989109577849	0.995820363312725	0.000159000083619853	0.969536524741585	0.000359989193197702	0.938079794156088	0.368470448255335	2.68721494562449e-06	0.869746023069178	0.945848800087732	"NA"
"Coumarins and derivatives"	8	3.35848003362302e-05	0.000501351587469014	8.30662146637602e-05	0.000228562058852216	0.000363999506101206	0.000429884321230296	3.89994233331068	1.30645336013386	2.76670557988645	3.43805613574429	3.67806813607455	-2.59348897317683	-1.13323675342423	-0.461886197566392	-0.221874197236135	1.46025221975259	2.13160277561043	2.37161477594069	0.67135055585784	0.911362556188097	0.240012000330258	-0.000358311120303383	0.996665935541401	-0.000358311120303378	0.997643510440003	-2.1765234321461e-05	0.999999931531337	0.000107054822462846	0.999973149730811	-9.08143712446719e-05	0.999897341055425	5.14996031930615e-18	1	0.000336545885981922	0.996487628911527	0.000465365942766229	0.992793614819443	0.000267496749058711	0.998752140126666	0.000336545885981917	0.997639688171182	0.000465365942766224	0.994572277843236	0.000267496749058706	0.999175707429574	0.000128820056784307	0.999878577141368	-6.90491369232108e-05	0.99984636298409	-0.000197869193707518	0.998893483839177	0.118964536456636	1.53487945198894e-06	0.9880641809284	0.9880641809284	"NA"
"Pyrimidine nucleotides"	18	1.91819739944808e-05	5.00553792728663e-06	6.06894088332e-05	1.07485554162799e-05	6.34371158393125e-06	1.95743971580568e-05	-1.93815417026334	1.66169357354797	-0.835608416453313	-1.59635210836046	0.0292166827877461	3.59984774381131	1.10254575381003	0.341802061902888	1.96737085305109	-2.49730199000128	-3.25804568190842	-1.63247689076022	-0.760743691907143	0.864825099241059	1.6255687911482	0.00165006166837859	0.163614611132971	-0.000147271694122093	0.99995677976549	0.000301976268944587	0.965140663896551	0.000288792830153837	0.995224701737765	0.000365276519344308	0.910183873847849	-0.00179733336250068	0.355678034250912	-0.001348085399434	0.288926626331856	-0.00136126883822475	0.473116749815501	-0.00128478514903428	0.327534325825442	0.00044924796306668	0.987336496111533	0.000436064524275931	0.994420116927226	0.000512548213466401	0.976006390233774	-1.31834387907496e-05	0.999999997989883	6.3300250399721e-05	0.999857995842428	7.64836891904706e-05	0.999985407906908	1.26481343014946	1.41598960937281e-05	0.280962617418725	0.457617101710603	"NA"
"Carboxylic acids and derivatives"	8	0.00541687973610632	0.00438711142320997	0.00288461640897758	0.00460088799033692	0.00402240641363763	0.00515581435597665	-0.304190712715377	-0.909082576220714	-0.235549726763811	-0.429403205675988	-0.0712617429923242	-0.604891863505336	0.0686409859515666	-0.125212492960611	0.232928969723053	0.673532849456903	0.479679370544726	0.83782083322839	-0.193853478912177	0.164287983771487	0.358141462683664	-5.59349757168658e-18	1	4.43537252380435e-20	1	-1.58461560440616e-18	1	0.00133602206755739	0.177715357554433	0.000492932314606964	0.760471168813706	5.63785129692462e-18	1	4.00888196728042e-18	1	0.0013360220675574	0.524422228868478	0.00049293231460697	0.973748849642686	-1.6289693296442e-18	1	0.00133602206755739	0.591253676650621	0.000492932314606964	0.982024574234695	0.00133602206755739	0.0895045006490333	0.000492932314606966	0.3950101818999	-0.000843089752950429	0.524234258153721	1.98938720256545	2.34676921053289e-05	0.0821218125283596	0.193097234863981	"NA"
"Benzothiazoles"	10	0	0	0	3.78520944127004e-06	0	4.23312499676682e-06	NA	NA	Inf	NA	Inf	NA	Inf	NA	Inf	Inf	NA	Inf	-Inf	0.161349960660365	Inf	-2.53062643441503e-18	1	-2.31378599991793e-18	1	0.000494620054895396	0.860675081911348	-2.1807248242038e-18	1	0.000532232912071412	0.792734858254256	2.16840434497101e-19	1	0.000494620054895399	0.98529910494771	3.49901610211231e-19	1	0.000532232912071414	0.978367882600661	0.000494620054895398	0.989950116421767	1.3306117571413e-19	1	0.000532232912071414	0.985247054022735	-0.000494620054895398	0.952893775484285	3.76128571760158e-05	0.999994816589558	0.000532232912071414	0.930127997833791	0.605184036176023	9.08879757467502e-06	0.696028520179492	0.82951344185775	"NA"
"Peptidomimetics"	3	0	0	0	4.36949847958926e-06	2.46852269994183e-05	0	NA	NA	Inf	Inf	NA	NA	Inf	Inf	NA	Inf	Inf	NA	2.49810830650512	-Inf	-Inf	-4.40580337364564e-18	1	1.9638843897067e-18	1	0.000366832762965989	0.947898142479488	0.00149810369967059	0.143268234981497	5.8152661978768e-19	1	6.36968776335234e-18	1	0.000366832762965993	0.995386569905059	0.00149810369967059	0.477171283255786	4.98732999343332e-18	1	0.000366832762965987	0.996892049089125	0.00149810369967058	0.546233497338945	-1.38235776991902e-18	1	0.0011312709367046	0.297164431048162	-0.000366832762965988	0.770232426206908	-0.00149810369967058	0.0570169257194533	1.83025389128147	2.49913761341173e-05	0.108903437993324	0.225585692986171	"NA"
"Pyrans"	9	0	0	0	2.83125502504852e-06	0	4.15361286212046e-06	NA	NA	Inf	NA	Inf	NA	Inf	NA	Inf	Inf	NA	Inf	-Inf	0.552925050194795	Inf	-4.43537252380434e-18	1	-1.6706569839663e-18	1	0.000395321003119515	0.929733626521494	-1.28625803190326e-18	1	0.000397491920979928	0.91576267604853	2.76471553983804e-18	1	0.000395321003119519	0.993503012801108	3.14911449190108e-18	1	0.000397491920979932	0.992914370753096	0.000395321003119516	0.995607467596344	3.84398952063043e-19	1	0.000397491920979929	0.995250757651568	-0.000395321003119516	0.978125672894324	2.17091786041291e-06	0.999999999995828	0.000397491920979929	0.97523533341626	0.388849024379205	5.32642978442794e-06	0.85605774719899	0.945848800087732	"NA"
"Tetrapyrroles and derivatives"	28	3.04939034800631e-07	1.40659634143131e-06	2.59646853735772e-06	4.39986826320999e-06	2.76896206412381e-06	4.64669557363671e-06	2.20561562539435	3.08995799914343	3.85086758398746	3.1827525437799	3.9296123858008	0.884342373749078	1.64525195859311	0.977136918385555	1.72399676040645	0.760909584844033	0.0927945446364766	0.839654386657376	-0.668115040207556	0.0787448018133434	0.7468598420209	0.000366450904870093	0.998179916563625	0.000901106078160483	0.925316597320805	0.000629547532431885	0.752418152787578	0.00038399110219276	0.99354317023855	0.000557688064807304	0.81070449693213	0.00053465517329039	0.997008489540961	0.000263096627561792	0.999476982332368	1.75401973226678e-05	0.999999999688073	0.000191237159937212	0.999883404514212	-0.000271558545728598	0.999594239890535	-0.000517114975967722	0.995584415755586	-0.000343418013353178	0.998660381301188	-0.000245556430239125	0.998633209996166	-7.18594676245804e-05	0.999910496361493	0.000173696962614544	0.999716786913918	0.45140244311072	7.85261067998308e-06	0.811909013549107	0.941814455716964	"NA"
"Benzopyrans"	32	0.000170611010255889	0.000106988923409605	2.5457702943912e-05	0.000712345042828075	5.08895217833708e-05	0.000672974547079399	-0.673249311148493	-2.74453659749947	2.06186546439054	-1.74527021365718	1.97984118802502	-2.07128728635098	2.73511477553903	-1.07202090250869	2.65309049917351	4.80640206189001	0.999266383842288	4.72437778552449	-3.80713567804772	-0.0820242763655218	3.7251114016822	-0.000666923540602529	0.994561988622888	-0.000666923540602523	0.996140902390795	0.000231703008456953	0.999340632533405	-0.000666923540602529	0.984984401717625	0.000830590839839524	0.79020639330532	6.50521303491303e-18	1	0.000898626549059483	0.97071130902855	2.56265968042028e-19	1	0.00149751438044205	0.775877251982027	0.000898626549059476	0.9797112371969	-6.248947066871e-18	1	0.00149751438044205	0.832569858956119	-0.000898626549059483	0.911467602511614	0.00059888783138257	0.769375616941838	0.00149751438044205	0.510273487915915	1.26895209879173	4.60772373287658e-05	0.279134978247554	0.457617101710603	"NA"
"Pyrroles"	4	3.7627546305685e-05	0	4.17479163792329e-06	3.46779251259839e-07	0	0	-Inf	-3.17201311405235	-6.76162782322948	-Inf	-Inf	Inf	Inf	NA	NA	-3.58961470917714	-Inf	-Inf	-Inf	-Inf	NA	-0.00130798133260675	0.760740677867342	-0.000394217611901147	0.999006344126885	-0.00120223296121678	0.205204912026007	-0.00130798133260674	0.550247623426261	-0.00130798133260674	0.105283392305912	0.000913763720705598	0.980129783825334	0.000105748371389968	0.999996910669285	2.24971950790742e-18	1	3.49655200626575e-18	1	-0.00080801534931563	0.963307043990048	-0.000913763720705596	0.967031575089637	-0.000913763720705595	0.935806862610053	-0.000105748371389966	0.99998832012717	-0.000105748371389965	0.999677166538149	1.24683249835833e-18	1	1.52921882336667	3.42035562381808e-05	0.182673605401411	0.353168970442728	"NA"
"(5'->5')-dinucleotides"	18	0	0	7.69871897721282e-06	8.21229128093971e-06	1.14842777267535e-05	7.95570477522288e-06	NA	Inf	Inf	Inf	Inf	Inf	Inf	Inf	Inf	0.0931663895830811	0.576969810393487	0.0473713312468524	0.483803420810407	-0.0457950583362284	-0.529598479146635	-1.34884606640583e-17	1	0.00124087209357215	0.925219497618728	0.00107931990018183	0.540008398073016	0.0010217970511443	0.889752802345044	0.000682182192043679	0.875950321711922	0.00124087209357217	0.967549881844652	0.00107931990018184	0.923052471663287	0.00102179705114432	0.969936504348049	0.000682182192043693	0.988721276472895	-0.000161552193390325	0.999993600937357	-0.000219075042427852	0.999986050171412	-0.000558689901528476	0.997020357122384	-5.75228490375267e-05	0.999999786837787	-0.000397137708138151	0.939936293650091	-0.000339614859100624	0.998440700432174	0.75136278286633	2.47696264589722e-05	0.586061339679574	0.725330600000716	"NA"
"Oxepanes"	3	0	0	0	2.40533323477845e-05	0	0	NA	NA	Inf	NA	NA	NA	Inf	NA	NA	Inf	NA	NA	-Inf	-Inf	NA	-2.11173014050018e-18	1	-4.31216773147644e-19	1	0.000866320416887276	0.808080999394601	-9.53605092617932e-19	1	-5.39636990396194e-19	1	1.68051336735253e-18	1	0.000866320416887278	0.977966737241516	1.15812504788224e-18	1	1.57209315010398e-18	1	0.000866320416887277	0.984828219174434	-5.22388319470289e-19	1	-1.0842021724855e-19	1	-0.000866320416887277	0.931622878888101	-0.000866320416887277	0.426035167892688	4.13968102221738e-19	1	0.810758800471428	3.11599620062611e-05	0.543331787808592	0.685070515063008	"NA"
"Tetralins"	7	3.42781958820964e-07	0	0	2.36668538430108e-05	0	8.0220895285764e-08	-Inf	-Inf	6.10943294366581	-Inf	-2.09524120783096	NA	Inf	NA	Inf	Inf	NA	Inf	-Inf	-8.20467415149677	Inf	-0.00012482402531113	0.999998652339666	-0.00012482402531113	0.999999063641317	0.000948347927517671	0.731686739298475	-0.000124824025311129	0.999995945402842	-9.42821973842911e-05	0.999991235492075	-1.0842021724855e-19	1	0.0010731719528288	0.942088349905485	9.31428229998911e-19	1	3.05418279268389e-05	0.999999998165863	0.0010731719528288	0.959145132239198	1.03984844724746e-18	1	3.0541827926839e-05	0.999999998804992	-0.0010731719528288	0.838294876984409	-0.00104263012490196	0.210061056879314	3.0541827926838e-05	0.999999992689487	1.18380618098156	4.44055407028714e-05	0.318744992969083	0.495193114076968	"NA"
"Phenols"	29	0.000301891395708512	0.000658108732009491	0.000321924294109558	0.000431949545196093	0.000554205888095424	0.000798073246620737	1.1242963253795	0.09269181553979	0.516833166324451	0.876392399864124	1.40249152331479	-1.03160450983971	-0.60746315905505	-0.247903925515378	0.278195197935284	0.424141350784661	0.783700584324334	1.309799707775	0.359559233539673	0.885658356990334	0.526099123450662	0.000323508434644979	0.999851979327387	-0.000495283194357447	0.999167631866858	0.000107884475592326	0.999986393198293	-0.000495283194357448	0.996589716347432	0.00118020403524868	0.47327779901434	-0.000818791629002426	0.996455845876036	-0.000215623959052653	0.999971349331726	-0.000818791629002428	0.991904560298876	0.000856695600603702	0.977183890668352	0.000603167669949773	0.997095184011156	-1.1433404728029e-18	1	0.00167548722960613	0.772844941100543	-0.000603167669949774	0.985195564893275	0.00107231955965636	0.189680128997602	0.00167548722960613	0.406400054879911	1.85553656632281	7.04778922658347e-05	0.104165197494519	0.221033467854222	"NA"
"Sphingolipids"	12	0.000106386112775841	8.94511919100378e-05	0.000539541567086818	0.000302005668141718	0.000445322581374459	0.000361277942581546	-0.250137228408651	2.34242427197111	1.50526578737854	2.06554093027553	1.76379933593502	2.59256150037976	1.75540301578719	2.31567815868418	2.01393656434368	-0.837158484592565	-0.276883341695577	-0.578624936036084	0.560275142896989	0.258533548556481	-0.301741594340507	-0.000532459865080224	0.998072561079471	-0.00053245986508022	0.998642625592661	-0.000439292185269808	0.986026020496262	-0.000532459865080226	0.994510735814825	0.000567011601491858	0.949433484739159	4.01154803819637e-18	1	9.31676798104161e-05	0.999999494111525	-2.06984051110869e-18	1	0.00109947146657208	0.926173226591977	9.31676798104121e-05	0.999999666818344	-6.08138854930506e-18	1	0.00109947146657208	0.947933743470899	-9.31676798104182e-05	0.999998081957286	0.00100630378676167	0.222614715044731	0.00109947146657208	0.794488713777696	1.25789852495785	4.5107831389043e-05	0.284038201061754	0.457617101710603	"NA"
"Azaphilones"	7	0	0	0	1.72055302034826e-05	0	3.85576480639704e-06	NA	NA	Inf	NA	Inf	NA	Inf	NA	Inf	Inf	NA	Inf	-Inf	-2.15778339269219	Inf	-8.28921842782099e-18	1	-3.95240973787898e-18	1	0.000964272886377947	0.693838647951913	-4.55364912443912e-18	1	0.000322856016382849	0.995870939813043	4.33680868994202e-18	1	0.000964272886377956	0.958554802332781	3.73556930338187e-18	1	0.000322856016382857	0.999735789787237	0.000964272886377951	0.971044851247091	-6.01239386560143e-19	1	0.000322856016382853	0.999826598720731	-0.000964272886377952	0.879294067584321	-0.000641416869995098	0.704482671911828	0.000322856016382854	0.998982171863163	0.743349109186419	2.64311941273485e-05	0.591936466667251	0.725330600000716	"NA"
